Timestamp,What is your primary reason(s) for using AI?,On average how many minutes per day do you spend chatting with an AI? ,I feel like the AI I interact with has a distinct personality.,The AI adapts its tone and language to match my specific communication style.,I feel a moral obligation be polite or kind when messaging the AI.,"When the AI claims to understand my feelings, I perceive that sentiment as sincere.",I find the AI's responses to be more supportive than those of some people I know in real life.,I find it easier to express myself to an AI than in some face-to-face conversations.,I frequently lose track of time while engaged in a conversation with the AI.,I can rely on the AI as a safe space to discuss my personal problems.,I would feel a significant sense of loss if I could no longer access my preferred AI.,I view my ongoing interactions with the AI as a form of companionship.,What age range do you fall in?,Gender identity,Current Status,How would describe your usage of technology.,Which of the following platforms do you use,Which of these platforms do you use,Do you currently use any form of AI?,Usage Category,Archetypes ,,,,,,
5/6/2026 22:27:08,"Homework, Study Help",300,1,5,5,1,1,1,1,1,1,1,18-24,Female,Student (Undergraduate),3,"ChatGPT, Claude","Ex. Meta AI (Instagram, WhatsApp, Facebook), Grok (Twitter/X), or Snapchat My AI, Chai",Yes,Work,Skeptic,,,,,,
5/6/2026 22:40:13,"Homework, Study Help",10,2,4,3,2,4,3,1,2,4,2,18-24,Female,Student (Undergraduate),4,ChatGPT,I do not use this form of AI,Yes,Work,Skeptic,,,,,,
5/6/2026 22:49:35,"Homework, Study Help",240,2,3,3,2,2,2,1,1,1,1,18-24,Male,"Student (Undergraduate), Employed (Part-time)",4,ChatGPT,I do not use this form of AI,Yes,Work,Skeptic,,,,,,
5/6/2026 23:07:12,General Knowledge,10,3,3,3,2,3,4,3,3,4,2,18-24,Female,Student (Undergraduate),3,"ChatGPT, Gemini","Ex. Meta AI (Instagram, WhatsApp, Facebook), Grok (Twitter/X), or Snapchat My AI",Yes,Work,Skeptic,,,,,,
5/6/2026 23:11:32,"Homework, Coding",120,3,4,2,1,1,2,3,3,5,4,18-24,Female,Student (Undergraduate),5,"ChatGPT, Deepseek",I do not use this form of AI,Yes,Work,Sole-Tool,,,,,,
5/6/2026 23:21:58,Study Help,10,1,3,4,3,4,5,1,2,1,1,25-34,Male,Student (Graduate/Post-grad),4,"ChatGPT, Gemini",I do not use this form of AI,Yes,Work,Empath,,,,,,
5/6/2026 23:23:18,Study Help,5,2,3,1,1,2,1,1,4,2,1,18-24,Male,Student (Undergraduate),4,ChatGPT,I do not use this form of AI,Yes,Work,Sole-Tool,,,,,,
5/6/2026 23:24:34,Study Help,10,1,2,1,1,1,1,1,1,4,1,18-24,Male,Student (Undergraduate),5,ChatGPT,"Ex. Meta AI (Instagram, WhatsApp, Facebook), Grok (Twitter/X), or Snapchat My AI",Yes,Work,Sole-Tool,,,,,,
5/6/2026 23:26:05,"Roleplay/Boredom, Coding, Study Help",120,4,5,3,1,4,4,2,4,1,1,18-24,Female,Student (Undergraduate),5,"Claude, Gemini, Perplexity",Character.ai,Yes,Hybrid,Skeptic,,,,,,
5/6/2026 23:27:47,"Coding, Study Help, Roleplay/Boredom",45,3,4,3,3,4,5,2,4,4,4,18-24,Female,Student (Undergraduate),2,Claude,Character.ai,Yes,Hybrid,Empath,,,,,,
5/6/2026 23:29:31,Work,25,3,5,3,3,5,5,1,4,1,1,25-34,Male,Employed (Full-time),4,ChatGPT,"Ex. Meta AI (Instagram, WhatsApp, Facebook), Grok (Twitter/X), or Snapchat My AI",Yes,Work,Empath,,,,,,
5/6/2026 23:48:44,"Homework, Study Help",30,3,4,4,2,1,1,1,1,1,1,18-24,Female,Student (Undergraduate),4,ChatGPT,I do not use this form of AI,Yes,Work,Skeptic,,,,,,
5/7/2026 1:01:01,"Study Help, Emotional Support, Roleplay/Boredom",30,3,4,4,4,4,5,3,4,3,1,25-34,Female,Employed (Full-time),3,ChatGPT,I do not use this form of AI,Yes,Hybrid,Empath,,,,,,
5/7/2026 6:47:50,"Homework, Study Help",20,3,4,3,2,4,2,2,2,3,2,18-24,Female,Student (Undergraduate),4,"ChatGPT, Claude","Ex. Meta AI (Instagram, WhatsApp, Facebook), Grok (Twitter/X), or Snapchat My AI",Yes,Work,Skeptic,,,,,Count,
